,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
942,Roberto Firmino ,9,BRA,FW,29-190,74,0,0,0,0,2,0,0,0,44,0,0,2
943,   Sadio Mané ,10,SEN,FW,29-000,16,0,0,0,0,1,1,0,0,12,0,0,0
944,Diogo Jota ,20,POR,LW,24-127,90,0,0,0,0,5,1,0,0,44,1,0,0
945,Mohamed Salah ,11,EGY,RW,28-299,90,1,0,0,0,7,2,0,0,56,0,0,0
946,James Milner ,7,ENG,LM,35-096,90,0,0,0,0,1,1,1,0,76,3,1,1
947,Fabinho ,3,BRA,"CM,CB",27-169,90,0,0,0,0,0,0,0,0,71,1,4,0
948,Georginio Wijnaldum ,5,NED,RM,30-150,69,0,0,0,0,1,0,0,0,39,1,0,0
949,   Thiago Alcántara ,6,ESP,"RM,CM",29-364,21,0,0,0,0,1,1,0,0,19,0,1,0
950,Andrew Robertson ,26,SCO,LB,27-030,90,0,0,0,0,1,1,1,0,73,2,0,1
951,Ozan Kabak ,19,TUR,CB,21-016,88,0,0,0,0,0,0,0,0,69,1,0,0
952,   Xherdan Shaqiri ,23,SUI,RM,29-182,2,0,0,0,0,0,0,0,0,4,0,0,0
953,Nathaniel Phillips ,47,ENG,CB,24-020,90,0,0,0,0,1,1,0,0,83,2,0,0
954,Trent Alexander-Arnold ,66,ENG,RB,22-185,90,1,0,0,0,3,2,0,0,100,3,1,0
955,Alisson ,1,BRA,GK,28-190,90,0,0,0,0,0,0,0,0,44,0,0,0
956,Roberto Firmino ,9,BRA,FW,29-199,90,0,0,0,0,3,2,1,0,38,3,0,2
957,Sadio Mané ,10,SEN,LW,29-009,70,1,0,0,0,1,1,0,0,29,2,0,0
958,   Mohamed Salah ,11,EGY,"FW,RW",28-308,20,0,0,0,0,2,0,0,0,12,0,0,0
959,Diogo Jota ,20,POR,"RW,LW",24-136,80,0,0,0,0,5,2,0,0,45,0,0,0
960,   Alex Oxlade-Chamberlain ,15,ENG,RM,27-247,10,0,0,0,0,1,1,0,0,8,0,0,0
961,James Milner ,7,ENG,LM,35-105,90,0,0,0,0,2,0,0,0,52,2,1,5
962,Georginio Wijnaldum ,5,NED,CM,30-159,90,0,0,0,0,2,0,0,0,24,1,1,0
963,Thiago Alcántara ,6,ESP,"RM,CM",30-008,90,0,0,0,0,1,1,0,0,54,2,1,5
964,Andrew Robertson ,26,SCO,LB,27-039,90,0,0,0,0,0,0,0,0,65,0,1,1
965,Ozan Kabak ,19,TUR,CB,21-025,90,0,0,0,0,0,0,0,0,51,2,2,0
966,Fabinho ,3,BRA,CB,27-178,90,0,0,0,0,0,0,0,0,41,1,1,0
967,Trent Alexander-Arnold ,66,ENG,RB,22-194,90,0,1,0,0,0,0,0,0,56,2,3,2
968,Alisson ,1,BRA,GK,28-199,90,0,0,0,0,0,0,0,0,35,0,0,0
969,Diogo Jota ,20,POR,FW,24-141,57,0,0,0,0,4,2,0,0,48,1,0,1
970,   James Milner ,7,ENG,LM,35-110,33,0,0,0,0,2,1,0,0,38,0,0,0
971,Roberto Firmino ,9,BRA,FW,29-204,90,0,0,0,0,3,3,0,0,73,2,0,3
972,Sadio Mané ,10,SEN,"LM,FW",29-014,90,0,0,0,0,6,1,0,0,62,0,0,2
973,Thiago Alcántara ,6,ESP,CM,30-013,76,0,0,0,0,0,0,0,0,110,6,0,0
974,   Curtis Jones ,17,ENG,CM,20-084,14,0,0,0,0,0,0,0,0,13,0,0,0
975,Georginio Wijnaldum ,5,NED,CM,30-164,90,0,0,0,0,0,0,0,0,99,0,3,0
976,Mohamed Salah ,11,EGY,RM,28-313,90,1,0,0,0,3,2,0,0,54,0,0,1
977,Andrew Robertson ,26,SCO,LB,27-044,90,0,0,0,0,1,0,0,0,120,5,1,1
978,Ozan Kabak ,19,TUR,CB,21-030,90,0,0,0,0,0,0,1,0,94,5,2,0
979,Fabinho ,3,BRA,CB,27-183,90,0,0,0,0,0,0,1,0,92,1,1,0
980,Trent Alexander-Arnold ,66,ENG,RB,22-199,90,0,0,0,0,3,0,0,0,106,0,1,0
981,Alisson ,1,BRA,GK,28-204,90,0,0,0,0,0,0,0,0,41,1,0,0
982,Diogo Jota ,20,POR,FW,24-155,78,0,0,0,0,3,2,0,0,45,1,2,0
983,   Roberto Firmino ,9,BRA,FW,29-218,12,0,1,0,0,0,0,0,0,5,0,0,0
984,Sadio Mané ,10,SEN,LW,29-028,89,1,0,0,0,2,1,0,0,52,2,0,2
985,   Curtis Jones ,17,ENG,LW,20-098,1,0,0,0,0,0,0,0,0,1,0,0,0
986,Mohamed Salah ,11,EGY,RW,28-327,86,0,1,0,0,4,2,0,0,41,1,1,0
987,   Alex Oxlade-Chamberlain ,15,ENG,RW,27-266,4,0,0,0,0,0,0,0,0,2,0,0,1
988,Georginio Wijnaldum ,5,NED,LM,30-178,90,0,0,0,0,1,0,0,0,48,0,0,0
989,Fabinho ,3,BRA,CM,27-197,90,0,0,0,0,0,0,0,0,80,4,2,3
990,Thiago Alcántara ,6,ESP,RM,30-027,90,1,0,0,0,2,1,0,0,88,2,0,6
991,Andrew Robertson ,26,SCO,LB,27-058,90,0,0,0,0,0,0,0,0,96,1,1,2
992,Rhys Williams ,46,ENG,CB,20-094,90,0,0,0,0,0,0,0,0,68,2,0,0
993,Nathaniel Phillips ,47,ENG,CB,24-048,90,0,0,0,0,2,0,0,0,71,0,1,0
994,Trent Alexander-Arnold ,66,ENG,RB,22-213,90,0,0,0,0,0,0,0,0,84,1,1,1
995,Alisson ,1,BRA,GK,28-218,90,0,0,0,0,0,0,0,0,45,1,0,0
996,Roberto Firmino ,9,BRA,FW,29-223,90,2,0,0,0,3,2,0,0,48,0,1,3
997,Diogo Jota ,20,POR,LW,24-160,73,1,0,0,0,4,3,0,0,44,3,1,3
998,   Sadio Mané ,10,SEN,LW,29-033,17,0,0,0,0,0,0,0,0,4,0,0,0
999,Mohamed Salah ,11,EGY,RW,28-332,89,1,0,0,0,4,1,0,0,36,0,0,0
1000,   Neco Williams ,76,WAL,RW,20-030,1,0,0,0,0,0,0,0,0,1,0,0,0
1001,Georginio Wijnaldum ,5,NED,LM,30-183,73,0,0,0,0,0,0,0,0,45,0,0,1
1002,   Curtis Jones ,17,ENG,LM,20-103,17,0,1,0,0,0,0,0,0,11,1,1,0
1003,Fabinho ,3,BRA,CM,27-202,90,0,0,0,0,0,0,0,0,58,2,2,2
1004,Thiago Alcántara ,6,ESP,RM,30-032,90,0,0,0,0,0,0,0,0,61,3,3,1
1005,Andrew Robertson ,26,SCO,LB,27-063,90,0,0,0,0,0,0,0,0,68,3,0,2
1006,Rhys Williams ,46,ENG,CB,20-099,90,0,0,0,0,1,0,0,0,52,1,1,2
1007,Nathaniel Phillips ,47,ENG,CB,24-053,90,0,1,0,0,1,0,0,0,72,2,0,3
1008,Trent Alexander-Arnold ,66,ENG,RB,22-218,90,0,1,0,0,4,2,0,0,85,1,3,1
1009,Alisson ,1,BRA,GK,28-223,90,0,0,0,0,0,0,0,0,40,0,0,0
1010,Roberto Firmino ,9,BRA,FW,29-226,90,0,0,0,0,3,0,0,0,78,0,0,1
1011,Sadio Mané ,10,SEN,LW,29-036,90,0,1,0,0,2,0,0,0,58,1,1,1
1012,Mohamed Salah ,11,EGY,RW,28-335,90,1,0,0,0,4,3,0,0,43,0,0,0
1013,Curtis Jones ,17,ENG,LM,20-106,58,0,0,0,0,0,0,0,0,62,0,0,0
1014,   Xherdan Shaqiri ,23,SUI,"LM,RM",29-218,32,0,0,0,0,0,0,0,0,37,0,0,1
1015,Fabinho ,3,BRA,"CM,CB",27-205,90,0,0,0,0,3,1,0,0,77,0,0,0
1016,Thiago Alcántara ,6,ESP,"RM,CM",30-035,90,0,0,0,0,4,1,0,0,116,4,0,0
1017,Andrew Robertson ,26,SCO,LB,27-066,90,0,0,0,0,0,0,0,0,111,0,0,0
1018,Rhys Williams ,46,ENG,CB,20-102,83,0,0,0,0,1,0,0,0,59,0,2,0
1019,   Georginio Wijnaldum ,5,NED,LM,30-186,7,0,0,0,0,2,0,0,0,9,0,0,0
1020,Nathaniel Phillips ,47,ENG,CB,24-056,90,0,0,0,0,2,0,0,0,76,2,3,0
1021,Trent Alexander-Arnold ,66,ENG,RB,22-221,90,0,1,0,0,4,0,0,0,100,1,0,1
1022,Alisson ,1,BRA,GK,28-226,90,1,0,0,0,1,1,0,0,36,0,0,0
1023,Roberto Firmino ,9,BRA,FW,29-229,80,1,0,0,0,2,1,0,0,60,0,0,0
1024,   Alex Oxlade-Chamberlain ,15,ENG,FW,27-277,10,1,0,0,0,1,1,0,0,2,0,0,0
1025,Sadio Mané ,10,SEN,LW,29-039,89,0,1,0,0,3,0,0,0,46,2,1,0
1026,   Kostas Tsimikas ,21,GRE,LW,25-007,1,0,0,0,0,0,0,0,0,0,0,0,0
1027,Mohamed Salah ,11,EGY,RW,28-338,90,0,0,0,0,4,0,0,0,43,0,0,0
1028,Georginio Wijnaldum ,5,NED,LM,30-189,86,0,0,0,0,0,0,0,0,61,1,0,1
1029,   James Milner ,7,ENG,LM,35-135,4,0,0,0,0,0,0,0,0,3,0,0,0
1030,Fabinho ,3,BRA,CM,27-208,90,0,0,0,0,1,0,0,0,69,1,0,1
1031,Thiago Alcántara ,6,ESP,RM,30-038,90,0,0,0,0,2,0,0,0,102,2,1,0
1032,Andrew Robertson ,26,SCO,LB,27-069,90,0,2,0,0,1,0,0,0,90,1,0,0
1033,Rhys Williams ,46,ENG,CB,20-105,90,0,0,0,0,0,0,0,0,73,2,0,2
1034,Nathaniel Phillips ,47,ENG,CB,24-059,90,1,0,0,0,3,1,0,0,66,3,0,2
1035,Trent Alexander-Arnold ,66,ENG,RB,22-224,90,0,0,0,0,3,0,0,0,81,3,4,1
1036,Alisson ,1,BRA,GK,28-229,90,0,0,0,0,0,0,0,0,41,0,0,0
1037,Roberto Firmino ,9,BRA,FW,29-233,89,0,1,0,0,2,1,0,0,52,1,0,1
