,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
7742,   Pontus Jansson ,18,SWE,"CB,LW",32-030,13,0,0,0,0,0,0,0,0,3,0,0,0
7743,Vitaly Janelt ,27,GER,LM,24-309,44,0,0,0,0,1,0,0,0,19,1,2,2
7744,   Frank Onyeka ,15,NGA,"RM,CM",25-073,46,0,0,0,0,0,0,0,0,18,0,1,2
7745,Christian Nørgaard ,6,DEN,CM,29-005,90,0,1,0,0,1,0,0,0,51,2,2,2
7746,Mathias Jensen ,8,DEN,"RM,LM",27-073,77,0,0,0,0,0,0,0,0,29,1,1,3
7747,   Mikkel Damsgaard ,24,DEN,"CM,LM",22-255,13,0,0,0,0,1,1,0,0,11,3,1,1
7748,Rico Henry ,3,ENG,LB,25-250,90,0,0,0,0,2,0,0,0,41,1,1,1
7749,Ben Mee ,16,ENG,CB,33-175,90,0,0,0,0,1,0,0,0,55,2,3,0
7750,Ethan Pinnock ,5,JAM,CB,29-290,90,0,0,0,0,0,0,0,0,38,2,0,2
7751,Aaron Hickey ,2,SCO,RB,20-278,90,0,0,0,0,0,0,1,0,29,2,1,1
7752,David Raya ,1,ESP,GK,27-181,90,0,0,0,0,0,0,0,0,48,0,0,0
7753,Danny Welbeck ,18,ENG,FW,32-109,78,0,0,0,0,1,1,0,0,26,0,0,2
7754,   Evan Ferguson ,28,IRL,FW,18-147,12,0,0,0,0,0,0,0,0,17,1,0,1
7755,Kaoru Mitoma ,22,JPN,LW,25-299,78,0,1,0,0,2,1,0,0,41,1,0,2
7756,   Julio César Enciso ,20,PAR,"LW,LM",19-051,12,0,0,0,0,1,0,0,0,13,1,1,0
7757,Solly March ,7,ENG,RW,28-238,89,1,0,0,0,1,1,0,0,38,2,1,1
7758,   Adam Webster ,4,ENG,CB,28-070,1,0,0,0,0,0,0,0,0,2,0,0,0
7759,Alexis Mac Allister ,10,ARG,AM,24-081,87,0,0,0,0,4,1,0,0,52,2,0,0
7760,   Jeremy Sarmiento ,19,ECU,"RM,AM",20-272,3,0,0,0,0,0,0,0,0,2,0,0,0
7761,Moisés Caicedo ,25,ECU,"DM,CM",21-133,90,0,0,0,0,1,0,1,0,77,2,3,1
7762,Pascal Groß ,13,GER,"DM,CM",31-273,90,0,0,0,0,0,0,0,0,63,1,1,3
7763,Pervis Estupiñán ,30,ECU,LB,25-053,90,0,0,0,0,1,1,0,0,74,4,4,0
7764,Levi Colwill ,6,ENG,CB,20-017,90,0,0,0,0,0,0,0,0,99,1,2,0
7765,Lewis Dunk ,5,ENG,CB,31-114,90,0,0,0,0,0,0,0,0,113,2,2,0
7766,Joël Veltman ,34,NED,RB,31-059,90,0,0,0,0,0,0,0,0,64,3,1,1
7767,Jason Steele ,23,ENG,GK,32-209,90,0,0,0,0,0,0,0,0,39,0,0,0
7768,Odsonne Édouard ,22,FRA,FW,25-058,78,0,0,0,0,2,1,0,0,15,0,0,0
7769,   Jean-Philippe Mateta ,14,FRA,FW,25-260,12,0,0,0,0,0,0,0,0,3,0,0,0
